Products,,,,,,,,
,,,,,,,,
,Product ID,Description,Retail,Size,Supplier,Stock Count,Reorder Point,Reorder Qty
,CJ215-UR272-8MM-3MM,Fixed Bead Ring,$15.00,16g 5/16,Painful Pleasures,10,0,0
,CJ216-UR411-8MM BRNZ,Fixed Bead Ring,$25.00,18G 5/16,Painful Pleasures,10,0,0
,CJ217-UR411-10MMBRNZ,Fixed Bead Ring,$25.00,18G 3/8,Painful Pleasures,10,0,0
,CJ217-UR431,Silicon Flat Disc 7mm,$10.00,7mm,Painful Pleasures,100,0,0
,CJ218-BNED147-1658,Naval 5x8mm Double Gem Cl,$25.00,14G 7/16,Metal Mafia,4,0,0
,CJ218-UR488,Sliver Plated Trquoise Clipon Septum,$30.00,,Painful Pleasures,1,0,0
,CJ219-BNED147-1658,Naval 5x8mm AB,$25.00,14g 7/16,Metal Mafia,2,0,0
,CJ220-BNED147-1658,Naval 5x8mm PK,$25.00,14g 7/16,Metal Mafia,2,0,0
,CJ221-BNED147-1658,Naval 5x8mm AQ,$25.00,14g 7/16,Metal Mafia,2,0,0
,CJ222-BNED147-16,Naval 5/8xmm BZ,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ223-BNED147-16,Naval 5/8xmm DG,$25.00,14G 7/16,Metal Mafia,1,0,0
,CJ224-BNED147-16,Naval 5/8xmm TZ,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ225-BNED147-16,Naval 5/8xmm BK,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ226-BNED147-16,Naval 5/8xmm RD,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ227-BNED147-16,Naval 5/8xmm RD,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ228-BNED147-16,Naval 5/8xmm LG,$25.00,14G 7/16,Metal Mafia,2,0,0
,CJ229-BNED141-2,Navel 5/8xmm AB,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ230-BNED141-2,Naval 5/8xmm PK,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ231-BNED141-2,Naval 5/8xmm PK,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ232-BNED141-2,Navel 5/8xmm AQ,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ233-BNED141-2,Navel 5/8xmm BZ,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ234-BNED141-2,Navel 5/8xmm DG,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ235-BNED141-2,Navel 5/8xmm DG,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ236-BNED141-2,Naval 5/8xmm DG,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ238-BNED141-2,Navel 5/8xmm TZ,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ239-BNED141-2,Naval 5/8xmm BK,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ240-BNED141-2,Navel 5/8xmm RD,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ241-BNED141-2,Naval 5/8xmm SP,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ242-BNED141-2,Navel 5/8xmm LG,$25.00,14G 1/2,Metal Mafia,2,0,0
,CJ243-LBE143-84AB,Labret E 4mm AB,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ244-LBE143-84PK,Labret E 4mm PK,$15.00,14G 3/8,Metal Mafia,2,0,0
,CJ245-LBE143-84PK,Labret E 4mm PK,$15.00,14G 3/8,Metal Mafia,2,0,0
,CJ246-LBE143-84AQ,Labret E 4mm AQ,$15.00,14g 3/8,Metal Mafia,2,0,0
,CJ247-LBE143-84BZ,Labret E 4mm BZ,$15.00,14g 3/8,Metal Mafia,2,0,0
